2018,,,,,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RECEIVING,,,,,,,,RUSHING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,,
78,Ko Kieft,TB,TE,17,10,7,70,80,1,19,8,11.4,0,0,0,0,0,0,1.2,21
79,Quintin Morris,BUF,TE,14,11,8,72.7,84,1,26,7.6,10.5,0,0,0,0,1,1,1.5,20.4
80,Ross Dwelley,SF,TE,12,5,3,60,105,1,56,21,35,0,0,0,0,0,0,1.6,19.5
81,Anthony Firkser,ATL,TE,11,13,9,69.2,100,0,22,7.7,11.1,0,0,0,0,0,0,1.7,19
82,Giovanni Ricci,CAR,TE,15,9,8,88.9,100,0,32,11.1,12.5,0,0,0,0,0,0,1.2,18
83,Brycen Hopkins,LAR,TE,14,11,7,63.6,109,0,22,9.9,15.6,0,0,0,0,0,0,1.3,17.9
83,Parker Hesse,ATL,TE,17,11,9,81.8,89,0,22,8.1,9.9,0,0,0,0,0,0,1.1,17.9
85,Tre' McKitty,LAC,TE,17,18,10,55.6,72,0,12,4,7.2,0,0,0,0,1,0,1,17.2
86,Armani Rogers IR,WAS,TE,11,6,5,83.3,64,0,23,10.7,12.8,2,26,13,0,0,0,1.3,14
87,Grant Calcaterra,PHI,TE,15,9,5,55.6,81,0,40,9,16.2,0,0,0,0,0,0,0.9,13.1
88,Kyle Rudolph,TB,TE,9,5,3,60,28,1,12,5.6,9.3,0,0,0,0,0,0,1.3,11.8
89,Nick Vannett,NYG,TE,9,9,6,66.7,55,0,15,6.1,9.2,0,0,0,0,0,0,1.3,11.5
90,Chris Manhertz,JAX,TE,17,8,6,75,42,0,21,5.2,7,0,0,0,0,0,0,0.6,10.2
91,Blake Bell,KC,TE,3,2,2,100,20,1,17,10,10,0,0,0,0,0,0,3.3,10
92,Tyler Kroft,SF,TE,11,5,4,80,57,0,28,11.4,14.2,0,0,0,0,0,0,0.9,9.7
93,Charlie Kolar,BAL,TE,2,6,4,66.7,49,0,15,8.2,12.2,0,0,0,0,0,0,4.4,8.9
94,Luke Farrell,JAX,TE,17,4,4,100,40,0,15,10,10,0,0,0,0,0,0,0.5,8
95,Tyler Mabry,SEA,TE,2,1,1,100,7,1,7,7,7,0,0,0,0,0,0,3.8,7.7
96,Trevon Wesco,CHI,TE,14,4,2,50,26,0,23,6.5,13,0,0,0,0,0,0,0.5,6.6
96,Stephen Sullivan,CAR,TE,14,6,2,33.3,46,0,33,7.7,23,0,0,0,0,0,0,0.5,6.6
