2018,,,,,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RECEIVING,,,,,,,,RUSHING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,,
66,Garrett Celek,SF,TE,15,8,5,62.5,90,2,41,11.2,18,0,0,0,0,0,0,1.7,26
66,Austin Seferian-Jenkins,JAX,TE,5,20,11,55,90,1,21,4.5,8.2,0,0,0,0,0,0,5.2,26
68,MyCole Pruitt,TEN,TE,15,11,9,81.8,102,1,27,9.3,11.3,0,0,0,0,0,0,1.7,25.2
69,Logan Paulsen,ATL,TE,15,9,9,100,91,1,19,10.1,10.1,0,0,0,0,0,0,1.6,24.1
70,Scott Simonson,NYG,TE,16,14,9,64.3,86,1,24,6.1,9.6,0,0,0,0,0,0,1.5,23.6
70,Dalton Schultz,DAL,TE,11,17,12,70.6,116,0,17,6.8,9.7,0,0,0,0,0,0,2.1,23.6
72,Nick O'Leary,MIA,TE,10,10,8,80,86,1,19,8.6,10.8,0,0,0,0,0,0,2.3,22.6
73,Luke Willson,DET,TE,14,19,13,68.4,87,0,13,4.6,6.7,0,0,0,0,0,0,1.6,21.7
74,Logan Thomas,BUF,TE,12,17,12,70.6,77,0,24,4.5,6.4,0,0,0,0,0,0,1.7,20.3
75,Derek Carrier,LV,TE,16,12,7,58.3,67,1,23,5.6,9.6,0,0,0,0,0,0,1.2,19.7
76,Niles Paul,JAX,TE,6,13,10,76.9,98,0,22,7.5,9.8,1,-3,-3,0,0,0,3.2,19.5
77,Seth DeValve,CLE,TE,13,7,5,71.4,74,1,26,10.6,14.8,0,0,0,0,0,0,1.4,18.4
78,Robert Tonyan,GB,TE,16,6,4,66.7,77,1,54,12.8,19.2,0,0,0,0,0,0,1.1,17.7
79,Jake Butt,DEN,TE,3,12,8,66.7,85,0,22,7.1,10.6,0,0,0,0,0,0,5.5,16.5
80,Jermaine Gresham,ARI,TE,13,12,9,75,94,0,26,7.8,10.4,0,0,0,0,1,1,1.3,16.4
81,Adam Shaheen,CHI,TE,5,6,5,83.3,48,1,23,8,9.6,0,0,0,0,0,0,3.2,15.8
82,Darren Waller,LV,TE,4,6,6,100,75,0,44,12.5,12.5,1,21,21,0,0,0,3.9,15.6
83,Eric Tomlinson,NYJ,TE,15,14,8,57.1,72,0,24,5.1,9,0,0,0,0,0,0,1,15.2
84,Jeremy Sprinkle,WAS,TE,16,9,5,55.6,41,1,15,4.6,8.2,0,0,0,0,0,0,0.9,15.1
85,Blake Bell,JAX,TE,10,11,8,72.7,67,0,16,6.1,8.4,0,0,0,0,0,0,1.5,14.7
86,AJ Derby,MIA,TE,4,5,3,60,48,1,19,9.6,16,0,0,0,0,0,0,3.4,13.8
87,Chris Manhertz,CAR,TE,16,5,2,40,52,1,50,10.4,26,0,0,0,0,0,0,0.8,13.2
