2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
96,Andrew Beck,DEN,FB,16,1,3,3,0,12,9,90,1,0,0,1.5,24.54
97,Wendell Smallwood,WAS,RB,15,22,81,3.7,0,13,9,64,0,0,0,1.6,23.5
98,Darrell Henderson Jr.,LAR,RB,13,39,147,3.8,0,6,4,37,0,0,0,1.7,22.4
99,Trey Edmunds,PIT,RB,11,22,92,4.2,0,7,6,48,0,0,0,1.8,20
100,Patrick Ricard,BAL,FB,16,0,0,0,0,11,8,47,1,0,0,1.2,18.7
101,Alec Ingold,LV,FB,16,10,17,1.7,0,6,6,44,1,0,0,1.1,18.1
102,Darren Sproles,PHI,RB,6,17,66,3.9,0,10,6,24,0,1,0,2.8,17
102,Danny Vitale,GB,FB,15,1,3,3,0,12,7,97,0,0,0,1.1,17
104,Wes Hills,DET,RB,1,10,21,2.1,2,2,2,1,0,0,0,16.2,16.2
105,Andy Janovich,DEN,FB,7,1,1,1,1,5,5,42,0,0,0,2.2,15.3
106,D'Ernest Johnson,CLE,RB,16,4,21,5.2,0,7,6,71,0,0,0,1,15.2
107,Kerrith Whyte Jr.,PIT,RB,6,24,122,5.1,0,1,1,9,0,0,0,2.4,14.1
108,Derek Watt,LAC,FB,16,7,10,1.4,1,5,3,32,0,0,0,0.8,13.2
109,Devontae Booker,DEN,RB,16,2,9,4.5,0,9,6,57,0,0,0,0.8,12.6
110,Spencer Ware,KC,RB,3,17,51,3,0,7,5,22,0,1,0,4.1,12.3
111,Mike Davis,CAR,RB,12,13,27,2.1,0,8,7,22,0,0,0,1,11.9
112,Zach Line,NO,FB,12,7,20,2.9,0,10,6,36,0,0,0,1,11.6
113,Javorius Allen,NYG,RB,10,10,36,3.6,1,2,1,9,0,0,0,1.2,11.5
114,Tra Carson,DET,RB,3,18,48,2.7,0,4,4,18,0,0,0,3.5,10.6
115,Patrick DiMarco,BUF,FB,16,3,7,2.3,0,7,5,41,0,0,0,0.6,9.8
116,Alex Armah,CAR,RB,16,6,11,1.8,1,2,2,6,0,0,0,0.6,9.7
117,Marshawn Lynch,SEA,RB,1,12,34,2.8,1,0,0,0,0,0,0,9.4,9.4
